"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_goal_achieved","HR-PPO - rollout/perc_goal_achieved__MIN","HR-PPO - rollout/perc_goal_achieved__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_goal_achieved","PPO - rollout/perc_goal_achieved__MIN","PPO - rollout/perc_goal_achieved__MAX"
"2581115","","","","","","","212","212","212","90.30662536621094","90.30662536621094","90.30662536621094"
"2598877","222","222","222","92.11309814453125","92.11309814453125","92.11309814453125","","","","","",""
"2611186","","","","","","","214","214","214","91.18199157714844","91.18199157714844","91.18199157714844"
"2625921","224","224","224","91.54727935791016","91.54727935791016","91.54727935791016","","","","","",""
"2633584","","","","","","","216","216","216","89.36959075927734","89.36959075927734","89.36959075927734"
"2652521","226","226","226","91.19318389892578","91.19318389892578","91.19318389892578","","","","","",""
"2660251","","","","","","","218","218","218","90.7002182006836","90.7002182006836","90.7002182006836"
"2671405","228","228","228","89.375","89.375","89.375","","","","","",""
"2683470","","","","","","","220","220","220","87.62376403808594","87.62376403808594","87.62376403808594"
"2692270","230","230","230","91.10320281982422","91.10320281982422","91.10320281982422","","","","","",""
"2709431","","","","","","","222","222","222","89.8566665649414","89.8566665649414","89.8566665649414"
"2710416","232","232","232","88.0412368774414","88.0412368774414","88.0412368774414","","","","","",""
"2731259","","","","","","","224","224","224","87.22860717773438","87.22860717773438","87.22860717773438"
"2737925","234","234","234","90.44862365722656","90.44862365722656","90.44862365722656","","","","","",""
"2753859","","","","","","","226","226","226","90.52758026123047","90.52758026123047","90.52758026123047"
"2763739","236","236","236","87.3563232421875","87.3563232421875","87.3563232421875","","","","","",""
"2787202","","","","","","","228","228","228","91.50779724121094","91.50779724121094","91.50779724121094"
"2790898","238","238","238","88.90469360351562","88.90469360351562","88.90469360351562","","","","","",""
"2808510","240","240","240","89.38775634765625","89.38775634765625","89.38775634765625","","","","","",""
"2809073","","","","","","","230","230","230","87.46958923339844","87.46958923339844","87.46958923339844"
"2834802","242","242","242","87.95518493652344","87.95518493652344","87.95518493652344","","","","","",""
"2836888","","","","","","","232","232","232","87.80000305175781","87.80000305175781","87.80000305175781"
"2856460","","","","","","","234","234","234","88.04500579833984","88.04500579833984","88.04500579833984"
"2866494","244","244","244","89.6551742553711","89.6551742553711","89.6551742553711","","","","","",""
"2880199","","","","","","","236","236","236","87.58464813232422","87.58464813232422","87.58464813232422"
"2891340","246","246","246","90.77381134033203","90.77381134033203","90.77381134033203","","","","","",""
"2903668","","","","","","","238","238","238","88.44807434082031","88.44807434082031","88.44807434082031"
"2912800","248","248","248","87.10801696777344","87.10801696777344","87.10801696777344","","","","","",""
"2928672","","","","","","","240","240","240","88.24858856201172","88.24858856201172","88.24858856201172"
"2939697","250","250","250","89.05609130859375","89.05609130859375","89.05609130859375","","","","","",""
"2958749","","","","","","","242","242","242","90.97154235839844","90.97154235839844","90.97154235839844"
"2969202","252","252","252","90.92179107666016","90.92179107666016","90.92179107666016","","","","","",""
"2987591","","","","","","","244","244","244","89.83543395996094","89.83543395996094","89.83543395996094"
"2994947","254","254","254","91.7730484008789","91.7730484008789","91.7730484008789","","","","","",""
"3012666","","","","","","","246","246","246","87.34321594238281","87.34321594238281","87.34321594238281"
"3015515","256","256","256","86.96428680419922","86.96428680419922","86.96428680419922","","","","","",""
"3035424","258","258","258","88.84539794921875","88.84539794921875","88.84539794921875","","","","","",""
"3042025","","","","","","","248","248","248","90.23210906982422","90.23210906982422","90.23210906982422"
"3058712","260","260","260","88.6435317993164","88.6435317993164","88.6435317993164","","","","","",""
"3066585","","","","","","","250","250","250","90.01148223876953","90.01148223876953","90.01148223876953"
"3084261","262","262","262","93.4681167602539","93.4681167602539","93.4681167602539","","","","","",""
"3091868","","","","","","","252","252","252","90.66059112548828","90.66059112548828","90.66059112548828"
"3104791","264","264","264","91.7398910522461","91.7398910522461","91.7398910522461","","","","","",""
"3116180","","","","","","","254","254","254","90.22471618652344","90.22471618652344","90.22471618652344"
"3125846","266","266","266","86.52095031738281","86.52095031738281","86.52095031738281","","","","","",""
"3137564","","","","","","","256","256","256","92.63420867919922","92.63420867919922","92.63420867919922"
"3149225","268","268","268","86.99186706542969","86.99186706542969","86.99186706542969","","","","","",""
"3168390","","","","","","","258","258","258","89.99037170410156","89.99037170410156","89.99037170410156"
"3172002","270","270","270","87.35440826416016","87.35440826416016","87.35440826416016","","","","","",""
"3188056","","","","","","","260","260","260","88.14913177490234","88.14913177490234","88.14913177490234"
"3197381","272","272","272","88.47926330566406","88.47926330566406","88.47926330566406","","","","","",""
"3214107","","","","","","","262","262","262","89.2631607055664","89.2631607055664","89.2631607055664"
"3223359","274","274","274","90.39881896972656","90.39881896972656","90.39881896972656","","","","","",""
"3240134","","","","","","","264","264","264","89.55386352539062","89.55386352539062","89.55386352539062"
"3251476","276","276","276","91.2208480834961","91.2208480834961","91.2208480834961","","","","","",""
"3261806","","","","","","","266","266","266","88.54041290283203","88.54041290283203","88.54041290283203"
"3278751","278","278","278","91.48936462402344","91.48936462402344","91.48936462402344","","","","","",""
"3287689","","","","","","","268","268","268","89.47368621826172","89.47368621826172","89.47368621826172"
"3304992","280","280","280","92.63005828857422","92.63005828857422","92.63005828857422","","","","","",""
"3312168","","","","","","","270","270","270","90.31531524658203","90.31531524658203","90.31531524658203"
"3328695","282","282","282","90.22801208496094","90.22801208496094","90.22801208496094","","","","","",""
"3332488","","","","","","","272","272","272","88.35078430175781","88.35078430175781","88.35078430175781"
"3345756","284","284","284","89.60498809814453","89.60498809814453","89.60498809814453","","","","","",""
"3357059","","","","","","","274","274","274","90.05347442626953","90.05347442626953","90.05347442626953"
"3377093","286","286","286","89.43489074707031","89.43489074707031","89.43489074707031","","","","","",""
"3387868","","","","","","","276","276","276","91.25117492675781","91.25117492675781","91.25117492675781"
"3397174","288","288","288","88.86827087402344","88.86827087402344","88.86827087402344","","","","","",""
"3412117","","","","","","","278","278","278","91.38321685791016","91.38321685791016","91.38321685791016"
"3423745","290","290","290","90.0439224243164","90.0439224243164","90.0439224243164","","","","","",""
"3437272","","","","","","","280","280","280","91.72259521484375","91.72259521484375","91.72259521484375"
"3448424","292","292","292","90.27982330322266","90.27982330322266","90.27982330322266","","","","","",""
"3459897","","","","","","","282","282","282","89.18238830566406","89.18238830566406","89.18238830566406"
"3474229","294","294","294","89.45783233642578","89.45783233642578","89.45783233642578","","","","","",""
"3489538","","","","","","","284","284","284","92.876220703125","92.876220703125","92.876220703125"
"3500408","296","296","296","90.5660400390625","90.5660400390625","90.5660400390625","","","","","",""
"3514628","","","","","","","286","286","286","92.02658081054688","92.02658081054688","92.02658081054688"
"3520493","298","298","298","88.78504943847656","88.78504943847656","88.78504943847656","","","","","",""
"3538354","","","","","","","288","288","288","88.94009399414062","88.94009399414062","88.94009399414062"
"3545059","300","300","300","86.54147338867188","86.54147338867188","86.54147338867188","","","","","",""
"3566046","","","","","","","290","290","290","92.32283782958984","92.32283782958984","92.32283782958984"
"3572573","302","302","302","90.68150329589844","90.68150329589844","90.68150329589844","","","","","",""
"3596244","304","304","304","91.2337646484375","91.2337646484375","91.2337646484375","","","","","",""
"3597555","","","","","","","292","292","292","92.26087188720703","92.26087188720703","92.26087188720703"
"3619908","306","306","306","88.97396850585938","88.97396850585938","88.97396850585938","","","","","",""
"3624237","","","","","","","294","294","294","92.89340209960938","92.89340209960938","92.89340209960938"
"3650383","308","308","308","90.9952621459961","90.9952621459961","90.9952621459961","","","","","",""
"3651698","","","","","","","296","296","296","90.9368667602539","90.9368667602539","90.9368667602539"
"3676763","","","","","","","298","298","298","92.12598419189453","92.12598419189453","92.12598419189453"
"3677757","310","310","310","88.62359619140625","88.62359619140625","88.62359619140625","","","","","",""
"3696952","","","","","","","300","300","300","90.94488525390625","90.94488525390625","90.94488525390625"
"3698323","312","312","312","90.23090362548828","90.23090362548828","90.23090362548828","","","","","",""
"3720844","314","314","314","91.9463119506836","91.9463119506836","91.9463119506836","","","","","",""
"3722583","","","","","","","302","302","302","92.20917510986328","92.20917510986328","92.20917510986328"
"3747461","","","","","","","304","304","304","93.15376281738281","93.15376281738281","93.15376281738281"
"3749171","316","316","316","92.18328857421875","92.18328857421875","92.18328857421875","","","","","",""
"3770218","318","318","318","90.12345886230469","90.12345886230469","90.12345886230469","","","","","",""
"3771265","","","","","","","306","306","306","92.53567504882812","92.53567504882812","92.53567504882812"
"3794407","320","320","320","90.76006317138672","90.76006317138672","90.76006317138672","","","","","",""
"3795098","","","","","","","308","308","308","90.67121887207031","90.67121887207031","90.67121887207031"
