"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/ep_rew_mean_norm","HR-PPO - rollout/ep_rew_mean_norm__MIN","HR-PPO - rollout/ep_rew_mean_norm__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/ep_rew_mean_norm","PPO - rollout/ep_rew_mean_norm__MIN","PPO - rollout/ep_rew_mean_norm__MAX"
"2866494","244","244","244","0.840609610080719","0.840609610080719","0.840609610080719","","","","","",""
"2880199","","","","","","","236","236","236","0.8304539322853088","0.8304539322853088","0.8304539322853088"
"2891340","246","246","246","0.8610845804214478","0.8610845804214478","0.8610845804214478","","","","","",""
"2903668","","","","","","","238","238","238","0.8325929641723633","0.8325929641723633","0.8325929641723633"
"2912800","248","248","248","0.8249293565750122","0.8249293565750122","0.8249293565750122","","","","","",""
"2928672","","","","","","","240","240","240","0.8252376914024353","0.8252376914024353","0.8252376914024353"
"2939697","250","250","250","0.8073779344558716","0.8073779344558716","0.8073779344558716","","","","","",""
"2958749","","","","","","","242","242","242","0.8448470830917358","0.8448470830917358","0.8448470830917358"
"2969202","252","252","252","0.8904643654823303","0.8904643654823303","0.8904643654823303","","","","","",""
"2987591","","","","","","","244","244","244","0.8553488254547119","0.8553488254547119","0.8553488254547119"
"2994947","254","254","254","0.84208083152771","0.84208083152771","0.84208083152771","","","","","",""
"3012666","","","","","","","246","246","246","0.8308492302894592","0.8308492302894592","0.8308492302894592"
"3015515","256","256","256","0.828629732131958","0.828629732131958","0.828629732131958","","","","","",""
"3035424","258","258","258","0.8679315447807312","0.8679315447807312","0.8679315447807312","","","","","",""
"3042025","","","","","","","248","248","248","0.8400133848190308","0.8400133848190308","0.8400133848190308"
"3058712","260","260","260","0.8333305716514587","0.8333305716514587","0.8333305716514587","","","","","",""
"3066585","","","","","","","250","250","250","0.8645074367523193","0.8645074367523193","0.8645074367523193"
"3084261","262","262","262","0.9295743703842163","0.9295743703842163","0.9295743703842163","","","","","",""
"3091868","","","","","","","252","252","252","0.8500147461891174","0.8500147461891174","0.8500147461891174"
"3104791","264","264","264","0.8780941367149353","0.8780941367149353","0.8780941367149353","","","","","",""
"3116180","","","","","","","254","254","254","0.841972827911377","0.841972827911377","0.841972827911377"
"3125846","266","266","266","0.8298327922821045","0.8298327922821045","0.8298327922821045","","","","","",""
"3137564","","","","","","","256","256","256","0.8730291724205017","0.8730291724205017","0.8730291724205017"
"3149225","268","268","268","0.8143245577812195","0.8143245577812195","0.8143245577812195","","","","","",""
"3168390","","","","","","","258","258","258","0.8405498266220093","0.8405498266220093","0.8405498266220093"
"3172002","270","270","270","0.8300743103027344","0.8300743103027344","0.8300743103027344","","","","","",""
"3188056","","","","","","","260","260","260","0.8135606050491333","0.8135606050491333","0.8135606050491333"
"3197381","272","272","272","0.8317420482635498","0.8317420482635498","0.8317420482635498","","","","","",""
"3214107","","","","","","","262","262","262","0.8455988168716431","0.8455988168716431","0.8455988168716431"
"3223359","274","274","274","0.8372725248336792","0.8372725248336792","0.8372725248336792","","","","","",""
"3240134","","","","","","","264","264","264","0.847929835319519","0.847929835319519","0.847929835319519"
"3251476","276","276","276","0.8715078234672546","0.8715078234672546","0.8715078234672546","","","","","",""
"3261806","","","","","","","266","266","266","0.8288431763648987","0.8288431763648987","0.8288431763648987"
"3278751","278","278","278","0.873860239982605","0.873860239982605","0.873860239982605","","","","","",""
"3287689","","","","","","","268","268","268","0.8295876383781433","0.8295876383781433","0.8295876383781433"
"3304992","280","280","280","0.901967465877533","0.901967465877533","0.901967465877533","","","","","",""
"3312168","","","","","","","270","270","270","0.8452857732772827","0.8452857732772827","0.8452857732772827"
"3328695","282","282","282","0.8700422644615173","0.8700422644615173","0.8700422644615173","","","","","",""
"3332488","","","","","","","272","272","272","0.8442195653915405","0.8442195653915405","0.8442195653915405"
"3345756","284","284","284","0.8572623133659363","0.8572623133659363","0.8572623133659363","","","","","",""
"3357059","","","","","","","274","274","274","0.8346688151359558","0.8346688151359558","0.8346688151359558"
"3377093","286","286","286","0.8209707140922546","0.8209707140922546","0.8209707140922546","","","","","",""
"3387868","","","","","","","276","276","276","0.8467274308204651","0.8467274308204651","0.8467274308204651"
"3397174","288","288","288","0.8476373553276062","0.8476373553276062","0.8476373553276062","","","","","",""
"3412117","","","","","","","278","278","278","0.8475133180618286","0.8475133180618286","0.8475133180618286"
"3423745","290","290","290","0.864679753780365","0.864679753780365","0.864679753780365","","","","","",""
"3437272","","","","","","","280","280","280","0.8609869480133057","0.8609869480133057","0.8609869480133057"
"3448424","292","292","292","0.8571428656578064","0.8571428656578064","0.8571428656578064","","","","","",""
"3459897","","","","","","","282","282","282","0.8516313433647156","0.8516313433647156","0.8516313433647156"
