"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/pi_entropy","HR-PPO - regularize/pi_entropy__MIN","HR-PPO - regularize/pi_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/pi_entropy","PPO - regularize/pi_entropy__MIN","PPO - regularize/pi_entropy__MAX"
"3104791","264","264","264","1.4065206050872803","1.4065206050872803","1.4065206050872803","","","","","",""
"3116180","","","","","","","254","254","254","3.199801445007324","3.199801445007324","3.199801445007324"
"3125846","266","266","266","1.5990197658538818","1.5990197658538818","1.5990197658538818","","","","","",""
"3137564","","","","","","","256","256","256","3.1040406227111816","3.1040406227111816","3.1040406227111816"
"3149225","268","268","268","1.5119775533676147","1.5119775533676147","1.5119775533676147","","","","","",""
"3168390","","","","","","","258","258","258","3.0339698791503906","3.0339698791503906","3.0339698791503906"
"3172002","270","270","270","1.405572533607483","1.405572533607483","1.405572533607483","","","","","",""
"3188056","","","","","","","260","260","260","3.1580724716186523","3.1580724716186523","3.1580724716186523"
"3197381","272","272","272","1.5634795427322388","1.5634795427322388","1.5634795427322388","","","","","",""
"3214107","","","","","","","262","262","262","3.175684928894043","3.175684928894043","3.175684928894043"
"3223359","274","274","274","1.4811384677886963","1.4811384677886963","1.4811384677886963","","","","","",""
"3240134","","","","","","","264","264","264","3.02864146232605","3.02864146232605","3.02864146232605"
"3251476","276","276","276","1.4642988443374634","1.4642988443374634","1.4642988443374634","","","","","",""
"3261806","","","","","","","266","266","266","3.0936882495880127","3.0936882495880127","3.0936882495880127"
"3278751","278","278","278","1.3999959230422974","1.3999959230422974","1.3999959230422974","","","","","",""
"3287689","","","","","","","268","268","268","2.975907802581787","2.975907802581787","2.975907802581787"
"3304992","280","280","280","1.5210239887237549","1.5210239887237549","1.5210239887237549","","","","","",""
"3312168","","","","","","","270","270","270","2.8972079753875732","2.8972079753875732","2.8972079753875732"
"3328695","282","282","282","1.4218283891677856","1.4218283891677856","1.4218283891677856","","","","","",""
"3332488","","","","","","","272","272","272","3.003641366958618","3.003641366958618","3.003641366958618"
"3345756","284","284","284","1.4031122922897339","1.4031122922897339","1.4031122922897339","","","","","",""
"3357059","","","","","","","274","274","274","2.992882251739502","2.992882251739502","2.992882251739502"
"3377093","286","286","286","1.5042577981948853","1.5042577981948853","1.5042577981948853","","","","","",""
"3387868","","","","","","","276","276","276","3.0485141277313232","3.0485141277313232","3.0485141277313232"
"3397174","288","288","288","1.3845456838607788","1.3845456838607788","1.3845456838607788","","","","","",""
"3412117","","","","","","","278","278","278","2.9946963787078857","2.9946963787078857","2.9946963787078857"
"3423745","290","290","290","1.4551235437393188","1.4551235437393188","1.4551235437393188","","","","","",""
"3437272","","","","","","","280","280","280","2.965778112411499","2.965778112411499","2.965778112411499"
"3448424","292","292","292","1.3463306427001953","1.3463306427001953","1.3463306427001953","","","","","",""
"3459897","","","","","","","282","282","282","2.916853427886963","2.916853427886963","2.916853427886963"
"3474229","294","294","294","1.406123161315918","1.406123161315918","1.406123161315918","","","","","",""
"3489538","","","","","","","284","284","284","2.804443836212158","2.804443836212158","2.804443836212158"
"3500408","296","296","296","1.4036195278167725","1.4036195278167725","1.4036195278167725","","","","","",""
"3514628","","","","","","","286","286","286","2.788606643676758","2.788606643676758","2.788606643676758"
"3520493","298","298","298","1.4902245998382568","1.4902245998382568","1.4902245998382568","","","","","",""
"3538354","","","","","","","288","288","288","2.904873847961426","2.904873847961426","2.904873847961426"
"3545059","300","300","300","1.5991355180740356","1.5991355180740356","1.5991355180740356","","","","","",""
"3566046","","","","","","","290","290","290","2.767089366912842","2.767089366912842","2.767089366912842"
"3572573","302","302","302","1.410293698310852","1.410293698310852","1.410293698310852","","","","","",""
"3596244","304","304","304","1.2861939668655396","1.2861939668655396","1.2861939668655396","","","","","",""
"3597555","","","","","","","292","292","292","2.832394599914551","2.832394599914551","2.832394599914551"
"3619908","306","306","306","1.4449386596679688","1.4449386596679688","1.4449386596679688","","","","","",""
"3624237","","","","","","","294","294","294","2.914543867111206","2.914543867111206","2.914543867111206"
"3650383","308","308","308","1.3532003164291382","1.3532003164291382","1.3532003164291382","","","","","",""
"3651698","","","","","","","296","296","296","2.903419256210327","2.903419256210327","2.903419256210327"
"3676763","","","","","","","298","298","298","2.7508676052093506","2.7508676052093506","2.7508676052093506"
"3677757","310","310","310","1.0962002277374268","1.0962002277374268","1.0962002277374268","","","","","",""
