"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - rollout/perc_collided","HR-PPO - rollout/perc_collided__MIN","HR-PPO - rollout/perc_collided__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - rollout/perc_collided","PPO - rollout/perc_collided__MIN","PPO - rollout/perc_collided__MAX"
"2709431","","","","","","","222","222","222","4.8511576652526855","4.8511576652526855","4.8511576652526855"
"2710416","232","232","232","4.123711109161377","4.123711109161377","4.123711109161377","","","","","",""
"2731259","","","","","","","224","224","224","5.491698741912842","5.491698741912842","5.491698741912842"
"2737925","234","234","234","4.052098274230957","4.052098274230957","4.052098274230957","","","","","",""
"2753859","","","","","","","226","226","226","4.31654691696167","4.31654691696167","4.31654691696167"
"2763739","236","236","236","6.321838855743408","6.321838855743408","6.321838855743408","","","","","",""
"2787202","","","","","","","228","228","228","3.379549503326416","3.379549503326416","3.379549503326416"
"2790898","238","238","238","5.120910167694092","5.120910167694092","5.120910167694092","","","","","",""
"2808510","240","240","240","4.081632614135742","4.081632614135742","4.081632614135742","","","","","",""
"2809073","","","","","","","230","230","230","8.029196739196777","8.029196739196777","8.029196739196777"
"2834802","242","242","242","6.722689151763916","6.722689151763916","6.722689151763916","","","","","",""
"2836888","","","","","","","232","232","232","7","7","7"
"2856460","","","","","","","234","234","234","5.063291072845459","5.063291072845459","5.063291072845459"
"2866494","244","244","244","7.241379261016846","7.241379261016846","7.241379261016846","","","","","",""
"2880199","","","","","","","236","236","236","6.207674980163574","6.207674980163574","6.207674980163574"
"2891340","246","246","246","2.6785714626312256","2.6785714626312256","2.6785714626312256","","","","","",""
"2903668","","","","","","","238","238","238","5.367561340332031","5.367561340332031","5.367561340332031"
"2912800","248","248","248","6.271777153015137","6.271777153015137","6.271777153015137","","","","","",""
"2928672","","","","","","","240","240","240","5.762712001800537","5.762712001800537","5.762712001800537"
"2939697","250","250","250","5.471956253051758","5.471956253051758","5.471956253051758","","","","","",""
"2958749","","","","","","","242","242","242","4.710500717163086","4.710500717163086","4.710500717163086"
"2969202","252","252","252","5.027933120727539","5.027933120727539","5.027933120727539","","","","","",""
"2987591","","","","","","","244","244","244","5.32429838180542","5.32429838180542","5.32429838180542"
"2994947","254","254","254","4.539007186889648","4.539007186889648","4.539007186889648","","","","","",""
"3012666","","","","","","","246","246","246","7.753705978393555","7.753705978393555","7.753705978393555"
"3015515","256","256","256","5.357142925262451","5.357142925262451","5.357142925262451","","","","","",""
"3035424","258","258","258","3.5225048065185547","3.5225048065185547","3.5225048065185547","","","","","",""
"3042025","","","","","","","248","248","248","4.061895370483398","4.061895370483398","4.061895370483398"
"3058712","260","260","260","4.731861114501953","4.731861114501953","4.731861114501953","","","","","",""
"3066585","","","","","","","250","250","250","4.5924224853515625","4.5924224853515625","4.5924224853515625"
"3084261","262","262","262","2.799377918243408","2.799377918243408","2.799377918243408","","","","","",""
"3091868","","","","","","","252","252","252","4.3280181884765625","4.3280181884765625","4.3280181884765625"
"3104791","264","264","264","3.5149385929107666","3.5149385929107666","3.5149385929107666","","","","","",""
"3116180","","","","","","","254","254","254","3.370786428451538","3.370786428451538","3.370786428451538"
"3125846","266","266","266","7.650273323059082","7.650273323059082","7.650273323059082","","","","","",""
"3137564","","","","","","","256","256","256","3.9950063228607178","3.9950063228607178","3.9950063228607178"
"3149225","268","268","268","5.5284552574157715","5.5284552574157715","5.5284552574157715","","","","","",""
"3168390","","","","","","","258","258","258","5.774783611297607","5.774783611297607","5.774783611297607"
"3172002","270","270","270","4.658901691436768","4.658901691436768","4.658901691436768","","","","","",""
"3188056","","","","","","","260","260","260","5.326231479644775","5.326231479644775","5.326231479644775"
"3197381","272","272","272","5.683563709259033","5.683563709259033","5.683563709259033","","","","","",""
"3214107","","","","","","","262","262","262","5.473684310913086","5.473684310913086","5.473684310913086"
"3223359","274","274","274","4.283604145050049","4.283604145050049","4.283604145050049","","","","","",""
"3240134","","","","","","","264","264","264","2.829162120819092","2.829162120819092","2.829162120819092"
"3251476","276","276","276","4.3895745277404785","4.3895745277404785","4.3895745277404785","","","","","",""
"3261806","","","","","","","266","266","266","6.031363010406494","6.031363010406494","6.031363010406494"
"3278751","278","278","278","3.68794322013855","3.68794322013855","3.68794322013855","","","","","",""
"3287689","","","","","","","268","268","268","5.263157844543457","5.263157844543457","5.263157844543457"
"3304992","280","280","280","4.479768753051758","4.479768753051758","4.479768753051758","","","","","",""
"3312168","","","","","","","270","270","270","4.729729652404785","4.729729652404785","4.729729652404785"
"3328695","282","282","282","4.234527587890625","4.234527587890625","4.234527587890625","","","","","",""
"3332488","","","","","","","272","272","272","5.497382164001465","5.497382164001465","5.497382164001465"
"3345756","284","284","284","2.9106028079986572","2.9106028079986572","2.9106028079986572","","","","","",""
"3357059","","","","","","","274","274","274","4.171123027801514","4.171123027801514","4.171123027801514"
"3377093","286","286","286","5.896805763244629","5.896805763244629","5.896805763244629","","","","","",""
"3387868","","","","","","","276","276","276","3.762935161590576","3.762935161590576","3.762935161590576"
"3397174","288","288","288","6.307977676391602","6.307977676391602","6.307977676391602","","","","","",""
"3412117","","","","","","","278","278","278","1.473922848701477","1.473922848701477","1.473922848701477"
"3423745","290","290","290","4.392386436462402","4.392386436462402","4.392386436462402","","","","","",""
"3437272","","","","","","","280","280","280","1.3422819375991821","1.3422819375991821","1.3422819375991821"
"3448424","292","292","292","5.596465587615967","5.596465587615967","5.596465587615967","","","","","",""
"3459897","","","","","","","282","282","282","2.7672955989837646","2.7672955989837646","2.7672955989837646"
"3474229","294","294","294","6.174698829650879","6.174698829650879","6.174698829650879","","","","","",""
"3489538","","","","","","","284","284","284","1.4247550964355469","1.4247550964355469","1.4247550964355469"
"3500408","296","296","296","4.063860893249512","4.063860893249512","4.063860893249512","","","","","",""
"3514628","","","","","","","286","286","286","1.6611295938491821","1.6611295938491821","1.6611295938491821"
"3520493","298","298","298","5.981308460235596","5.981308460235596","5.981308460235596","","","","","",""
"3538354","","","","","","","288","288","288","3.686635971069336","3.686635971069336","3.686635971069336"
"3545059","300","300","300","6.572770118713379","6.572770118713379","6.572770118713379","","","","","",""
"3566046","","","","","","","290","290","290","2.263779640197754","2.263779640197754","2.263779640197754"
"3572573","302","302","302","5.563282489776611","5.563282489776611","5.563282489776611","","","","","",""
"3596244","304","304","304","3.5714285373687744","3.5714285373687744","3.5714285373687744","","","","","",""
"3597555","","","","","","","292","292","292","1.39130437374115","1.39130437374115","1.39130437374115"
"3619908","306","306","306","3.9816231727600098","3.9816231727600098","3.9816231727600098","","","","","",""
"3624237","","","","","","","294","294","294","1.3197969198226929","1.3197969198226929","1.3197969198226929"
"3650383","308","308","308","3.554502487182617","3.554502487182617","3.554502487182617","","","","","",""
"3651698","","","","","","","296","296","296","2.4439918994903564","2.4439918994903564","2.4439918994903564"
"3676763","","","","","","","298","298","298","1.4623172283172607","1.4623172283172607","1.4623172283172607"
"3677757","310","310","310","4.494381904602051","4.494381904602051","4.494381904602051","","","","","",""
"3696952","","","","","","","300","300","300","1.0498688220977783","1.0498688220977783","1.0498688220977783"
"3698323","312","312","312","4.618117332458496","4.618117332458496","4.618117332458496","","","","","",""
"3720844","314","314","314","2.013422727584839","2.013422727584839","2.013422727584839","","","","","",""
"3722583","","","","","","","302","302","302","1.494130253791809","1.494130253791809","1.494130253791809"
