"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/tau_entropy","HR-PPO - regularize/tau_entropy__MIN","HR-PPO - regularize/tau_entropy__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/tau_entropy","PPO - regularize/tau_entropy__MIN","PPO - regularize/tau_entropy__MAX"
"3066585","","","","","","","250","250","250","0.7392820715904236","0.7392820715904236","0.7392820715904236"
"3084261","262","262","262","0.26186659932136536","0.26186659932136536","0.26186659932136536","","","","","",""
"3091868","","","","","","","252","252","252","0.8021243810653687","0.8021243810653687","0.8021243810653687"
"3104791","264","264","264","0.3195018768310547","0.3195018768310547","0.3195018768310547","","","","","",""
"3116180","","","","","","","254","254","254","0.7416681051254272","0.7416681051254272","0.7416681051254272"
"3125846","266","266","266","0.3434700071811676","0.3434700071811676","0.3434700071811676","","","","","",""
"3137564","","","","","","","256","256","256","0.7594937086105347","0.7594937086105347","0.7594937086105347"
"3149225","268","268","268","0.2549968659877777","0.2549968659877777","0.2549968659877777","","","","","",""
"3168390","","","","","","","258","258","258","0.7020341157913208","0.7020341157913208","0.7020341157913208"
"3172002","270","270","270","0.3073451817035675","0.3073451817035675","0.3073451817035675","","","","","",""
"3188056","","","","","","","260","260","260","0.7353358268737793","0.7353358268737793","0.7353358268737793"
"3197381","272","272","272","0.2869597375392914","0.2869597375392914","0.2869597375392914","","","","","",""
"3214107","","","","","","","262","262","262","0.8020037412643433","0.8020037412643433","0.8020037412643433"
"3223359","274","274","274","0.28980696201324463","0.28980696201324463","0.28980696201324463","","","","","",""
"3240134","","","","","","","264","264","264","0.6751039624214172","0.6751039624214172","0.6751039624214172"
"3251476","276","276","276","0.2527770400047302","0.2527770400047302","0.2527770400047302","","","","","",""
"3261806","","","","","","","266","266","266","0.8082551956176758","0.8082551956176758","0.8082551956176758"
"3278751","278","278","278","0.28296300768852234","0.28296300768852234","0.28296300768852234","","","","","",""
"3287689","","","","","","","268","268","268","0.7023063898086548","0.7023063898086548","0.7023063898086548"
"3304992","280","280","280","0.3187911808490753","0.3187911808490753","0.3187911808490753","","","","","",""
"3312168","","","","","","","270","270","270","0.5791229009628296","0.5791229009628296","0.5791229009628296"
"3328695","282","282","282","0.2942015528678894","0.2942015528678894","0.2942015528678894","","","","","",""
"3332488","","","","","","","272","272","272","0.7475782632827759","0.7475782632827759","0.7475782632827759"
"3345756","284","284","284","0.3280011713504791","0.3280011713504791","0.3280011713504791","","","","","",""
