"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/loss_kl_weighted","HR-PPO - regularize/loss_kl_weighted__MIN","HR-PPO - regularize/loss_kl_weighted__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/loss_kl_weighted","PPO - regularize/loss_kl_weighted__MIN","PPO - regularize/loss_kl_weighted__MAX"
"4025446","338","338","338","0.06465138494968414","0.06465138494968414","0.06465138494968414","","","","","",""
"4047040","","","","","","","326","326","326","0","0","0"
"4047341","340","340","340","0.059635818004608154","0.059635818004608154","0.059635818004608154","","","","","",""
"4075367","342","342","342","0.06291958689689636","0.06291958689689636","0.06291958689689636","","","","","",""
"4075811","","","","","","","328","328","328","0","0","0"
"4102206","","","","","","","330","330","330","0","0","0"
"4107055","344","344","344","0.0638515055179596","0.0638515055179596","0.0638515055179596","","","","","",""
"4127460","346","346","346","0.06229231506586075","0.06229231506586075","0.06229231506586075","","","","","",""
"4128087","","","","","","","332","332","332","0","0","0"
"4155173","","","","","","","334","334","334","0","0","0"
"4156382","348","348","348","0.07402285933494568","0.07402285933494568","0.07402285933494568","","","","","",""
"4174876","","","","","","","336","336","336","0","0","0"
"4190140","350","350","350","0.06280238926410675","0.06280238926410675","0.06280238926410675","","","","","",""
"4203111","","","","","","","338","338","338","0","0","0"
"4214819","352","352","352","0.0649690330028534","0.0649690330028534","0.0649690330028534","","","","","",""
"4230613","","","","","","","340","340","340","0","0","0"
"4236251","354","354","354","0.06927825510501862","0.06927825510501862","0.06927825510501862","","","","","",""
"4256150","","","","","","","342","342","342","0","0","0"
"4260551","356","356","356","0.05647362768650055","0.05647362768650055","0.05647362768650055","","","","","",""
"4282110","358","358","358","0.07291935384273529","0.07291935384273529","0.07291935384273529","","","","","",""
"4284569","","","","","","","344","344","344","0","0","0"
"4304486","360","360","360","0.06602556258440018","0.06602556258440018","0.06602556258440018","","","","","",""
"4310568","","","","","","","346","346","346","0","0","0"
"4325507","362","362","362","0.06818477809429169","0.06818477809429169","0.06818477809429169","","","","","",""
"4337214","","","","","","","348","348","348","0","0","0"
"4346648","364","364","364","0.07004433125257492","0.07004433125257492","0.07004433125257492","","","","","",""
"4363507","","","","","","","350","350","350","0","0","0"
"4367258","366","366","366","0.07292398810386658","0.07292398810386658","0.07292398810386658","","","","","",""
"4382634","","","","","","","352","352","352","0","0","0"
"4387721","368","368","368","0.060726478695869446","0.060726478695869446","0.060726478695869446","","","","","",""
"4406403","","","","","","","354","354","354","0","0","0"
"4416307","370","370","370","0.07377950102090836","0.07377950102090836","0.07377950102090836","","","","","",""
"4436181","372","372","372","0.06438960880041122","0.06438960880041122","0.06438960880041122","","","","","",""
"4436805","","","","","","","356","356","356","0","0","0"
"4460066","","","","","","","358","358","358","0","0","0"
"4465873","374","374","374","0.06614576280117035","0.06614576280117035","0.06614576280117035","","","","","",""
"4482493","","","","","","","360","360","360","0","0","0"
"4495971","376","376","376","0.06358286738395691","0.06358286738395691","0.06358286738395691","","","","","",""
"4501082","","","","","","","362","362","362","0","0","0"
"4518320","378","378","378","0.06714565306901932","0.06714565306901932","0.06714565306901932","","","","","",""
"4528056","","","","","","","364","364","364","0","0","0"
"4540447","380","380","380","0.06531129032373428","0.06531129032373428","0.06531129032373428","","","","","",""
"4547177","","","","","","","366","366","366","0","0","0"
"4566348","382","382","382","0.0796833336353302","0.0796833336353302","0.0796833336353302","","","","","",""
"4574003","","","","","","","368","368","368","0","0","0"
"4592644","384","384","384","0.05691789835691452","0.05691789835691452","0.05691789835691452","","","","","",""
"4598877","","","","","","","370","370","370","0","0","0"
"4623300","386","386","386","0.06921394914388657","0.06921394914388657","0.06921394914388657","","","","","",""
