"global_step","HR-PPO - _step","HR-PPO - _step__MIN","HR-PPO - _step__MAX","HR-PPO - regularize/kl_div","HR-PPO - regularize/kl_div__MIN","HR-PPO - regularize/kl_div__MAX","PPO - _step","PPO - _step__MIN","PPO - _step__MAX","PPO - regularize/kl_div","PPO - regularize/kl_div__MIN","PPO - regularize/kl_div__MAX"
"2633584","","","","","","","216","216","216","9.105894088745117","9.105894088745117","9.105894088745117"
"2652521","226","226","226","1.0936288833618164","1.0936288833618164","1.0936288833618164","","","","","",""
"2660251","","","","","","","218","218","218","9.02048110961914","9.02048110961914","9.02048110961914"
"2671405","228","228","228","1.159500002861023","1.159500002861023","1.159500002861023","","","","","",""
"2683470","","","","","","","220","220","220","9.599870681762695","9.599870681762695","9.599870681762695"
"2692270","230","230","230","1.2454081773757935","1.2454081773757935","1.2454081773757935","","","","","",""
"2709431","","","","","","","222","222","222","9.098132133483887","9.098132133483887","9.098132133483887"
"2710416","232","232","232","1.1521676778793335","1.1521676778793335","1.1521676778793335","","","","","",""
"2731259","","","","","","","224","224","224","9.215201377868652","9.215201377868652","9.215201377868652"
"2737925","234","234","234","1.2977159023284912","1.2977159023284912","1.2977159023284912","","","","","",""
"2753859","","","","","","","226","226","226","8.687408447265625","8.687408447265625","8.687408447265625"
"2763739","236","236","236","0.910936176776886","0.910936176776886","0.910936176776886","","","","","",""
"2787202","","","","","","","228","228","228","9.21207332611084","9.21207332611084","9.21207332611084"
"2790898","238","238","238","0.9950778484344482","0.9950778484344482","0.9950778484344482","","","","","",""
"2808510","240","240","240","1.1671216487884521","1.1671216487884521","1.1671216487884521","","","","","",""
"2809073","","","","","","","230","230","230","9.415314674377441","9.415314674377441","9.415314674377441"
"2834802","242","242","242","1.1126093864440918","1.1126093864440918","1.1126093864440918","","","","","",""
"2836888","","","","","","","232","232","232","9.136154174804688","9.136154174804688","9.136154174804688"
"2856460","","","","","","","234","234","234","9.396082878112793","9.396082878112793","9.396082878112793"
"2866494","244","244","244","1.080672264099121","1.080672264099121","1.080672264099121","","","","","",""
"2880199","","","","","","","236","236","236","9.43368911743164","9.43368911743164","9.43368911743164"
"2891340","246","246","246","1.13585364818573","1.13585364818573","1.13585364818573","","","","","",""
"2903668","","","","","","","238","238","238","9.072027206420898","9.072027206420898","9.072027206420898"
"2912800","248","248","248","0.7427284717559814","0.7427284717559814","0.7427284717559814","","","","","",""
"2928672","","","","","","","240","240","240","9.21772289276123","9.21772289276123","9.21772289276123"
"2939697","250","250","250","1.1285115480422974","1.1285115480422974","1.1285115480422974","","","","","",""
"2958749","","","","","","","242","242","242","9.370360374450684","9.370360374450684","9.370360374450684"
"2969202","252","252","252","0.6794469356536865","0.6794469356536865","0.6794469356536865","","","","","",""
"2987591","","","","","","","244","244","244","9.188226699829102","9.188226699829102","9.188226699829102"
"2994947","254","254","254","1.180519461631775","1.180519461631775","1.180519461631775","","","","","",""
"3012666","","","","","","","246","246","246","9.499807357788086","9.499807357788086","9.499807357788086"
"3015515","256","256","256","1.2044035196304321","1.2044035196304321","1.2044035196304321","","","","","",""
"3035424","258","258","258","1.309207558631897","1.309207558631897","1.309207558631897","","","","","",""
"3042025","","","","","","","248","248","248","9.571294784545898","9.571294784545898","9.571294784545898"
"3058712","260","260","260","1.0690431594848633","1.0690431594848633","1.0690431594848633","","","","","",""
